Comment,Designator,Footprint,LCSC,Quantity
1K,"R14,R15,R19,R20",R_0402_1005Metric,C11702,4
2u2,C9,C_0402_1005Metric,C12530,1
GREEN,D2,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C130722,1
100nF,C2,C_0402_1005Metric,C1525,1
2n2,"C16,C19",C_0402_1005Metric,C1531,2
0R,R16,R_0402_1005Metric,C17168,1
88.7k,R21,R_0603_1608Metric,C23258,1
10K,"R12,R13,R8,R9",R_0402_1005Metric,C25744,4
200K,R3,R_0402_1005Metric,C25764,1
5K1,"R1,R10,R11,R2,R4,R5,R6,R7",R_0402_1005Metric,C25905,8
22.1k,R22,R_0603_1608Metric,C25961,1
TPS560430,U1,SOT-23-6,C2863641,1
CC6920BSO-5A,"U4,U5",SOIC-8_3.9x4.9mm_P1.27mm,C2880430,2
100n,"C11,C13,C14,C17,C4,C7,C8",C_0402_1005Metric,C307331,7
USB_C_Receptacle_USB2.0,J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148,1
Conn_01x02_Pin,J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C492456,1
Conn_01x04_Pin,"J1,J2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C492458,2
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186,1
SM4007PL,D3,D2_SOD-123,C64898,1
CP2102N-A01-GQFN28,U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C6568,1
ESP32-WROOM-32E-R2,U7,ESP32-WROOM-32D,C701341,1
RED,"D1,D4",LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C71911,2
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477,1
B5819W,"D5,D6",D_SOD-123,C8598,2
22uF,C3,C_0603_1608Metric,C86295,1
2.2uF 50V,C1,C_0603_1608Metric,C913904,1
MMDT2222A,Q1,SOT-363_SC-70-6,C96379,1
10u,"C10,C12,C6",C_0603_1608Metric,C96446,3
18uH 580mA,L1,L_Sunlord_SWPA3012S,C96833,1
